sp_code,Bromeliad,abundance
sp_16,Brom.3,1
sp_18,Brom.3,2
sp_23,Brom.3,1
sp_24,Brom.3,4
sp_25,Brom.3,6
sp_26,Brom.3,8
sp_39,Brom.3,1
sp_47,Brom.3,14
sp_50,Brom.3,7
sp_56,Brom.3,4
sp_64,Brom.3,1
sp_65,Brom.3,5
sp_85,Brom.3,1
sp_92,Brom.3,1
sp_107,Brom.3,1
sp_108,Brom.3,2
sp_5,Brom.46,3
sp_7,Brom.46,1
sp_12,Brom.46,4
sp_18,Brom.46,2
sp_24,Brom.46,1
sp_27,Brom.46,2
sp_28,Brom.46,1
sp_38,Brom.46,3
sp_39,Brom.46,6
sp_47,Brom.46,21
sp_50,Brom.46,3
sp_51,Brom.46,8
sp_54,Brom.46,4
sp_55,Brom.46,6
sp_56,Brom.46,7
sp_58,Brom.46,5
sp_82,Brom.46,2
sp_83,Brom.46,1
sp_84,Brom.46,3
sp_100,Brom.46,1
sp_103,Brom.46,1
sp_104,Brom.46,1
sp_107,Brom.46,1
sp_110,Brom.46,1
sp_115,Brom.46,1
sp_5,Brom.95,2
sp_7,Brom.95,7
sp_10,Brom.95,1
sp_12,Brom.95,1
sp_14,Brom.95,1
sp_15,Brom.95,1
sp_25,Brom.95,1
sp_29,Brom.95,1
sp_36,Brom.95,10
sp_38,Brom.95,6
sp_41,Brom.95,1
sp_43,Brom.95,1
sp_47,Brom.95,7
sp_50,Brom.95,1
sp_51,Brom.95,1
sp_53,Brom.95,6
sp_55,Brom.95,26
sp_56,Brom.95,9
sp_58,Brom.95,2
sp_7,Brom.102,23
sp_10,Brom.102,1
sp_12,Brom.102,1
sp_13,Brom.102,1
sp_18,Brom.102,5
sp_36,Brom.102,15
sp_38,Brom.102,7
sp_39,Brom.102,1
sp_41,Brom.102,15
sp_47,Brom.102,12
sp_53,Brom.102,7
sp_59,Brom.102,7
sp_60,Brom.102,3
sp_61,Brom.102,3
sp_82,Brom.102,1
sp_84,Brom.102,2
sp_97,Brom.102,2
sp_5,Brom.16,105
sp_6,Brom.16,2
sp_7,Brom.16,1
sp_8,Brom.16,2
sp_11,Brom.16,1
sp_12,Brom.16,10
sp_13,Brom.16,2
sp_14,Brom.16,1
sp_18,Brom.16,3
sp_27,Brom.16,1
sp_30,Brom.16,1
sp_31,Brom.16,1
sp_36,Brom.16,2
sp_39,Brom.16,3
sp_41,Brom.16,2
sp_47,Brom.16,18
sp_48,Brom.16,1
sp_53,Brom.16,1
sp_59,Brom.16,7
sp_60,Brom.16,20
sp_61,Brom.16,14
sp_73,Brom.16,1
sp_84,Brom.16,3
sp_98,Brom.16,1
sp_109,Brom.16,1
sp_129,Brom.16,1
sp_130,Brom.16,1
sp_5,Brom.48,14
sp_7,Brom.48,24
sp_9,Brom.48,6
sp_12,Brom.48,5
sp_15,Brom.48,1
sp_18,Brom.48,20
sp_19,Brom.48,9
sp_27,Brom.48,2
sp_28,Brom.48,1
sp_38,Brom.48,4
sp_41,Brom.48,2
sp_43,Brom.48,2
sp_47,Brom.48,29
sp_50,Brom.48,15
sp_51,Brom.48,203
sp_52,Brom.48,9
sp_53,Brom.48,1
sp_55,Brom.48,24
sp_56,Brom.48,26
sp_58,Brom.48,5
sp_67,Brom.48,4
sp_68,Brom.48,1
sp_82,Brom.48,7
sp_83,Brom.48,1
sp_85,Brom.48,5
sp_94,Brom.48,2
sp_100,Brom.48,3
sp_112,Brom.48,1
sp_130,Brom.48,1
sp_146,Brom.48,1
sp_149,Brom.48,1
sp_150,Brom.48,1
sp_5,Brom.85,1
sp_9,Brom.85,1
sp_47,Brom.85,4
sp_49,Brom.85,2
sp_50,Brom.85,1
sp_55,Brom.85,4
sp_56,Brom.85,3
sp_83,Brom.85,3
sp_84,Brom.85,2
sp_92,Brom.85,1
sp_7,Brom.64,38
sp_9,Brom.64,5
sp_12,Brom.64,23
sp_14,Brom.64,1
sp_15,Brom.64,3
sp_16,Brom.64,2
sp_17,Brom.64,2
sp_18,Brom.64,12
sp_19,Brom.64,2
sp_33,Brom.64,2
sp_34,Brom.64,3
sp_38,Brom.64,6
sp_39,Brom.64,4
sp_41,Brom.64,1
sp_47,Brom.64,75
sp_48,Brom.64,1
sp_49,Brom.64,3
sp_51,Brom.64,40
sp_53,Brom.64,19
sp_55,Brom.64,54
sp_56,Brom.64,27
sp_58,Brom.64,9
sp_62,Brom.64,1
sp_63,Brom.64,1
sp_74,Brom.64,2
sp_75,Brom.64,1
sp_80,Brom.64,1
sp_82,Brom.64,12
sp_84,Brom.64,1
sp_85,Brom.64,1
sp_86,Brom.64,2
sp_90,Brom.64,1
sp_92,Brom.64,2
sp_99,Brom.64,1
sp_102,Brom.64,1
sp_103,Brom.64,1
sp_109,Brom.64,1
sp_113,Brom.64,1
sp_128,Brom.64,1
sp_139,Brom.64,2
sp_140,Brom.64,1
sp_34,Brom.82,1
sp_39,Brom.82,3
sp_5,Brom.77,1
sp_7,Brom.77,22
sp_8,Brom.77,3
sp_12,Brom.77,6
sp_13,Brom.77,1
sp_15,Brom.77,1
sp_34,Brom.77,1
sp_38,Brom.77,1
sp_39,Brom.77,9
sp_41,Brom.77,3
sp_44,Brom.77,7
sp_47,Brom.77,31
sp_53,Brom.77,5
sp_55,Brom.77,6
sp_56,Brom.77,7
sp_83,Brom.77,1
sp_84,Brom.77,1
sp_85,Brom.77,2
sp_91,Brom.77,1
sp_92,Brom.77,1
sp_13,Brom.7,1
sp_16,Brom.7,1
sp_18,Brom.7,1
sp_24,Brom.7,1
sp_38,Brom.7,9
sp_39,Brom.7,4
sp_47,Brom.7,2
sp_49,Brom.7,2
sp_53,Brom.7,1
sp_55,Brom.7,2
sp_56,Brom.7,1
sp_58,Brom.7,1
sp_69,Brom.7,1
sp_70,Brom.7,1
sp_71,Brom.7,1
sp_72,Brom.7,1
sp_82,Brom.7,1
sp_100,Brom.7,1
sp_101,Brom.7,1
sp_5,Brom.1,10
sp_9,Brom.1,9
sp_12,Brom.1,8
sp_16,Brom.1,2
sp_17,Brom.1,1
sp_18,Brom.1,11
sp_19,Brom.1,3
sp_28,Brom.1,1
sp_34,Brom.1,3
sp_35,Brom.1,1
sp_36,Brom.1,1
sp_38,Brom.1,6
sp_39,Brom.1,17
sp_41,Brom.1,6
sp_42,Brom.1,1
sp_45,Brom.1,2
sp_46,Brom.1,4
sp_47,Brom.1,57
sp_49,Brom.1,3
sp_51,Brom.1,74
sp_55,Brom.1,29
sp_56,Brom.1,34
sp_59,Brom.1,3
sp_60,Brom.1,6
sp_61,Brom.1,8
sp_78,Brom.1,2
sp_81,Brom.1,1
sp_82,Brom.1,21
sp_83,Brom.1,9
sp_84,Brom.1,2
sp_85,Brom.1,7
sp_89,Brom.1,1
sp_92,Brom.1,6
sp_98,Brom.1,3
sp_116,Brom.1,1
sp_118,Brom.1,1
sp_119,Brom.1,1
sp_143,Brom.1,1
sp_2,Brom.4,1
sp_3,Brom.4,1
sp_7,Brom.4,19
sp_8,Brom.4,3
sp_12,Brom.4,10
sp_14,Brom.4,1
sp_16,Brom.4,5
sp_18,Brom.4,27
sp_24,Brom.4,2
sp_34,Brom.4,2
sp_35,Brom.4,1
sp_38,Brom.4,3
sp_39,Brom.4,488
sp_42,Brom.4,1
sp_47,Brom.4,82
sp_49,Brom.4,9
sp_55,Brom.4,38
sp_56,Brom.4,29
sp_58,Brom.4,2
sp_61,Brom.4,3
sp_62,Brom.4,3
sp_76,Brom.4,1
sp_82,Brom.4,7
sp_83,Brom.4,1
sp_92,Brom.4,3
sp_96,Brom.4,1
sp_97,Brom.4,1
sp_98,Brom.4,3
sp_118,Brom.4,1
sp_5,Brom.53,9
sp_14,Brom.53,1
sp_27,Brom.53,1
sp_28,Brom.53,1
sp_38,Brom.53,2
sp_39,Brom.53,199
sp_47,Brom.53,11
sp_53,Brom.53,3
sp_55,Brom.53,6
sp_56,Brom.53,3
sp_82,Brom.53,1
sp_83,Brom.53,2
sp_85,Brom.53,1
sp_101,Brom.53,1
sp_103,Brom.53,2
sp_8,Brom.40,2
sp_9,Brom.40,6
sp_12,Brom.40,8
sp_16,Brom.40,1
sp_18,Brom.40,5
sp_24,Brom.40,1
sp_27,Brom.40,1
sp_28,Brom.40,1
sp_32,Brom.40,2
sp_34,Brom.40,2
sp_36,Brom.40,4
sp_37,Brom.40,1
sp_38,Brom.40,10
sp_39,Brom.40,2
sp_41,Brom.40,4
sp_46,Brom.40,2
sp_47,Brom.40,11
sp_51,Brom.40,9
sp_55,Brom.40,19
sp_56,Brom.40,19
sp_58,Brom.40,1
sp_82,Brom.40,8
sp_83,Brom.40,2
sp_84,Brom.40,4
sp_85,Brom.40,2
sp_92,Brom.40,2
sp_113,Brom.40,1
sp_136,Brom.40,1
sp_138,Brom.40,2
sp_139,Brom.40,1
sp_140,Brom.40,2
sp_141,Brom.40,1
sp_143,Brom.40,2
sp_1,Brom.79,1
sp_4,Brom.79,1
sp_5,Brom.79,1
sp_7,Brom.79,44
sp_9,Brom.79,10
sp_12,Brom.79,18
sp_14,Brom.79,2
sp_18,Brom.79,9
sp_19,Brom.79,2
sp_24,Brom.79,1
sp_28,Brom.79,5
sp_32,Brom.79,1
sp_34,Brom.79,1
sp_38,Brom.79,12
sp_39,Brom.79,3
sp_40,Brom.79,1
sp_43,Brom.79,5
sp_46,Brom.79,1
sp_47,Brom.79,89
sp_49,Brom.79,16
sp_51,Brom.79,30
sp_52,Brom.79,1
sp_53,Brom.79,4
sp_54,Brom.79,6
sp_55,Brom.79,27
sp_56,Brom.79,31
sp_57,Brom.79,1
sp_77,Brom.79,1
sp_79,Brom.79,1
sp_82,Brom.79,15
sp_83,Brom.79,2
sp_84,Brom.79,3
sp_85,Brom.79,9
sp_86,Brom.79,1
sp_92,Brom.79,2
sp_93,Brom.79,1
sp_100,Brom.79,1
sp_103,Brom.79,1
sp_136,Brom.79,1
sp_137,Brom.79,1
sp_147,Brom.79,1
sp_148,Brom.79,1
sp_12,Brom.A,2
sp_28,Brom.A,1
sp_36,Brom.A,1
sp_39,Brom.A,273
sp_49,Brom.A,1
sp_55,Brom.A,13
sp_56,Brom.A,4
sp_83,Brom.A,1
sp_18,Brom.B,1
sp_23,Brom.B,1
sp_25,Brom.B,3
sp_49,Brom.B,7
sp_56,Brom.B,1
sp_92,Brom.B,15
sp_18,Brom.C,2
sp_19,Brom.C,1
sp_20,Brom.C,1
sp_24,Brom.C,1
